irn,name,county,fiscal_year,unrestricted_aid,restricted_aid,property_tax,income_tax,property_tax_allocation,total_revenue,total_revenue_and_sources,total_expenditure,beginning_cash,ending_cash
050690,Lake Local,Wood,2023,6349799,372259,9291419,0,985395,19148833,19165953,20071980,5089245,4183218
050690,Lake Local,Wood,2024,6691647,448162,10040128,0,913216,21475241,21470841,20491087,4183218,5162972
050690,Lake Local,Wood,2025,6638780,518978,10215824,0,952089,21252382,21387777,21756785,5162972,4793964
050708,North Baltimore Local,Wood,2020,4355765,281370,3635282,806888,0,10049914,10086736,9341342,5109415,5854809
050708,North Baltimore Local,Wood,2021,4457777,-5649,3561307,902364,0,9957721,10035555,9626793,5854809,6263572
050708,North Baltimore Local,Wood,2022,4567799,281370,3873499,806888,0,10506165,10650388,10012790,6263572,6983529
050708,North Baltimore Local,Wood,2023,4560175,-2263,3829973,1127225,0,10662269,10843537,10920689,6263572,6186420
050708,North Baltimore Local,Wood,2024,5371690,5838,3963724,1009394,0,12083054,12228486,11094682,6186420,7320224
050708,North Baltimore Local,Wood,2025,5233771,48893,4218955,1053326,0,12092326,12170708,13821064,7320224,5669868
050716,Northwood Local Schools,Wood,2020,3606884,73795,5469018,353422,515867,12354230,12369445,11941473,5202391,5630363
050716,Northwood Local Schools,Wood,2021,3659536,77122,5320868,314166,512437,12735065,12786447,11571693,5630363,6845117
050716,Northwood Local Schools,Wood,2022,4601783,239046,5708819,396403,512061,13132431,13193393,12449448,6845117,7589062
050716,Northwood Local Schools,Wood,2023,5267336,352663,5613793,433119,512670,13369381,13369544,13217897,6215734,6367381
050716,Northwood Local Schools,Wood,2024,5867196,475263,5663116,407733,507513,14096207,14162500,13843156,6367381,6686725
050716,Northwood Local Schools,Wood,2025,6312339,564476,5940613,418382,519431,15204105,15219989,17995983,6686725,3910732
050724,Otsego Local,Wood,2020,5358338,40867,4524903,3268690,654791,15960464,16073984,16545544,4702058,4230498
050724,Otsego Local,Wood,2021,5615340,39758,4592319,3151043,666068,16718468,16949608,15684879,4230498,5495227
050724,Otsego Local,Wood,2022,6174351,4371,4657385,3485197,682970,16921702,16930074,16924395,5495227,5500906
050724,Otsego Local,Wood,2023,5896476,273531,4641334,3970286,690825,17386022,17409015,18300965,5500875,4608925
050724,Otsego Local,Wood,2024,6211065,392510,5445415,3923335,764315,18644556,18794136,19560588,4608925,3842473
050724,Otsego Local,Wood,2025,6208748,299289,6215081,4191414,878777,20522358,20632751,20329369,3842473,4145855
050740,Mohawk Local,Wyandot,2020,4919361,48849,2620204,1602883,409150,13387160,13444953,11900751,4037437,5581639
050740,Mohawk Local,Wyandot,2021,4952840,48849,2654297,1600979,412687,13686882,13859613,12052089,5581639,7389163
050740,Mohawk Local,Wyandot,2022,4908679,278967,2633815,1843363,412942,12677255,12762222,13003774,7389163,7147611
050740,Mohawk Local,Wyandot,2023,5138220,253604,2653586,2065655,414514,13473147,13564474,13092028,7547515,8019961
050740,Mohawk Local,Wyandot,2024,4977131,281507,2957745,1939708,442004,14009650,14032229,13457227,8019961,8594963
050740,Mohawk Local,Wyandot,2025,5085011,277207,3162174,2063073,475101,14475373,14484094,17497201,8594963,5581856
050773,Apollo,Allen,2020,4211698,1860689,3399143,0,465599,12036870,12233686,10937108,11337642,12634220
050773,Apollo,Allen,2021,4215839,1860682,3437204,0,467183,11937674,12175878,10987223,12634220,13822875
050773,Apollo,Allen,2022,5322807,2521839,3605941,0,484162,12931377,13205699,11910610,13822875,15117964
050773,Apollo,Allen,2023,5838030,2778947,3758172,0,499812,14065204,14382206,12330870,15117963,17169299
